Sample,LabID,Sample.ID,Genetic.Sex,Individual.ID,Pod,Region,MiSeq.run,Population,year,month,day,latitudeN,longitudeW,dom.sp,prey50
2014JAN18-06_S14,52196-021,2014JAN18-06,Male,J47,J,WA,2016,SRKW,2014,1,18,47.849831,122.447571,chum,chum
2014NOV15-01-reex_S31,52196-041,2014NOV15-01,Female,J2,J,WA,2016,SRKW,2014,11,15,47.849831,122.447571,chum,chum
2014OCT17-01_S18,52196-022,2014OCT17-01,Female,K43,K,WA,2016,SRKW,2014,10,17,47.849831,122.447571,chinook,chinook
2014OCT17-01-reex_S28,52196-022,2014OCT17-01,Female,K43,K,WA,2016,SRKW,2014,10,17,47.849831,122.447571,chinook,chinook
2014OCT17-02_S19,52196-023,2014OCT17-02,Male,J45,J,WA,2016,SRKW,2014,10,17,47.849831,122.447571,chum,chum
2014OCT17-02-reex_S25,52196-023,2014OCT17-02,Male,J45,J,WA,2016,SRKW,2014,10,17,47.849831,122.447571,chum,chum
2015FEB18-02_S3,52196-002,2015FEB18-02,Male,K21,K,WA,2016,SRKW,2015,2,18,46.8898,124.247,NA,None
2015FEB18-04_S4,52196-004,2015FEB18-04,Male,K44,K,WA,2016,SRKW,2015,2,18,46.8898,124.247,NA,None
2015FEB19-04_S10,52196-005,2015FEB19-04,Male,K35,K,WA,2016,SRKW,2015,2,19,46.8898,124.247,chinook,chinook
2015FEB23-05_S11,52196-007,2015FEB23-05,Female,K12,K,WA,2016,SRKW,2015,2,23,46.063934,124.05417,chinook,chinook
2015FEB24-01_S12,52196-008,2015FEB24-01,Male,L116,L,WA,2016,SRKW,2015,2,24,46.350985,124.179009,NA,None
2015FEB25-03_S13,52196-010,2015FEB25-03,Female,L55,L,WA,2016,SRKW,2015,2,25,46.8898,124.247,chinook,chinook
2015FEB25-03-reex_S26,52196-010,2015FEB25-03,Female,L55,L,WA,2016,SRKW,2015,2,25,46.8898,124.247,chinook,chinook
2015Jan02-A_S1,52196-038,2015Jan10-02,fail,fail,NA,WA,2016,SRKW,2015,1,2,47.81054,122.41929,Raja binoculata,Raja binoculata
2015Jan02-A-reex_S24,52196-038,2015Jan10-02,fail,fail,NA,WA,2016,SRKW,2015,1,2,47.81054,122.41929,Raja binoculata,Raja binoculata
2015Jan03-A_S2,52196-039,2015Jan10-03,Male,J44,J,WA,2016,SRKW,2015,1,3,47.81054,122.41929,chum,chum
2015Jan10-02_S15,52196-031,2015Jan10-02,Male,NA,NA,WA,2016,SRKW,2015,1,10,47.849831,122.447571,Raja binoculata,Raja binoculata
2015Jan10-02-reex_S33,52196-031,2015Jan10-02,Male,NA,NA,WA,2016,SRKW,2015,1,10,47.849831,122.447571,Raja binoculata,Raja binoculata
2015Jan10-03_S16,52196-032,2015Jan10-03,Male,J44,J,WA,2016,SRKW,2015,1,10,47.849831,122.447571,chum,chum
2016Feb25-04_S23,NA,2016Feb25-04,NA,NA,NA,WA,2016,SRKW,2016,2,25,46.8898,124.247,chinook,chinook
2016Feb25-04-2_S43,NA,2016Feb25-04-2,NA,NA,NA,WA,2016,SRKW,2016,2,25,46.8898,124.247,chinook,chinook
2016Feb25-04-reex_S32,NA,2016Feb25-04,NA,NA,NA,WA,2016,SRKW,2016,2,25,46.8898,124.247,chinook,chinook
30-Jan-15_S20,52196-037,2015Jan30,Male,K33,K,WA,2016,SRKW,2015,1,15,47.849831,122.447571,NA,None
30-Jan-2015-2_S34,52196-037,2015Jan30,Male,K33,K,WA,2016,SRKW,2015,1,30,47.849831,122.447571,chinook,chinook
30-Jan-2015-3_S40,52196-037,2015Jan30,Male,K33,K,WA,2016,SRKW,2015,1,30,47.849831,122.447571,chinook,chinook
52196-143_S83,52196-143,2017SEP24-24,Male,J45,J,WA,2019,SRKW,2017,9,24,48.788187,123.339827,coho,coho
52196-206_S13,52196-206,2018SEP13-02,Female,J16,J,WA,2019,SRKW,2018,9,13,48.496659,123.181853,coho,coho
52196-206rep_S55,52196-206,2018SEP13-02,Female,J16,J,WA,2019,SRKW,2018,9,13,48.496659,123.181853,coho,coho
52196-206repB_S87,52196-206,2018SEP13-02,Female,J16,J,WA,2019,SRKW,2018,9,13,48.496659,123.181853,coho,coho
52390-32_S28,52390-32,2021Sep21-03a,Male,L115,L,WA,2021P2,SRKW,2021,9,21,47.849831,122.447571,NA,None
CRC2015APR09-03_S22,52196-034,CRC2015APR09-03,Female,L54,L,WA,2016,SRKW,2015,4,3,46.8898,124.247,chinook,chinook
CRC2015APR09-03-2_S36,52196-034,CRC2015APR09-03,Female,L54,L,WA,2016,SRKW,2015,4,3,46.8898,124.247,chinook,chinook
CRC2015APR09-03-3_S42,52196-034,CRC2015APR09-03,Female,L54,L,WA,2016,SRKW,2015,4,3,46.8898,124.247,chinook,chinook
CRC2015MAR0306-01-reex_S29,NA,CRC2015MAR0306-01,NA,NA,NA,WA,2016,SRKW,2015,3,3,47.9574,124.7381,chinook,chinook
CRC2015MAR06-06_S21,52196-036,CRC2015MAR06-06,Female,L54,L,WA,2016,SRKW,2015,3,6,47.8675,124.7254,chinook,None
CRC2015MAR06-06-2_S35,52196-036,CRC2015MAR06-06,Female,L54,L,WA,2016,SRKW,2015,3,6,47.8675,124.7254,chinook,chinook
CRC2015MAR06-06-3_S41,52196-036,CRC2015MAR06-06,Female,L54,L,WA,2016,SRKW,2015,3,6,47.8675,124.7254,chinook,chinook
F18Aug18-01_S44,52196-124,F18Aug18-01,Undetermined,J27,J,WA,2018,SRKW,2018,8,18,48.496659,123.181853,chinook,chinook
F18Aug18-02_S53,52196-125,F18Aug18-02,Undetermined,J27,J,WA,2018,SRKW,2018,8,18,48.496659,123.181853,chinook,chinook
AmpBias20-A_S40,AmpBias20-A,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
AmpBias20-B_S41,AmpBias20-B,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
AmpBias20-C_S42,AmpBias20-C,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
AmpBias24-A_S43,AmpBias24-A,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
AmpBias24-B_S44,AmpBias24-B,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
AmpBias24-C_S45,AmpBias24-C,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
AmpBias28-A_S46,AmpBias28-A,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
AmpBias28-B_S47,AmpBias28-B,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
AmpBias28-C_S48,AmpBias28-C,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
AmpBias32-A_S37,AmpBias32-A,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
AmpBias32-B_S38,AmpBias32-B,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
AmpBias32-C_S39,AmpBias32-C,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
Congrol-1_S37,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,None
Congrol-1-2_S44,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,None
Congrol-1-3_S52,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,None
control2_S35,control2,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
Control-2_S38,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,None
control2_S73,control2,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
Control-2-2_S45,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,None
Control-2-3_S53,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,None
control3_S36,control3,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
Control-3_S39,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,None
control3_S74,control3,NA,NA,NA,NA,NA,2021P2,NA,NA,NA,NA,NA,NA,NA,None
Control-3-2_S46,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,None
Control-3-3_S54,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,None
ControlMix-1_S9,ControlMix-1,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,None
ControlMix-2_S18,ControlMix-2,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,None
ControlMix-3_S27,ControlMix-3,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,None
ControlMix-4_S36,ControlMix-4,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,None
ControlMix-5_S45,ControlMix-5,NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,None
PreyControlMix-2_S20,PreyControlMix-2,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA,None
PreyControlMix-2b_S65,PreyControlMix-2b,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA,None
PreyControlMix-3_S32,PreyControlMix-3,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA,None
PreyControlMix-3b_S75,PreyControlMix-3b,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA,None
