Sample,LabID,Sample.ID,Genetic.Sex,Individual.ID,Pod,Region,MiSeq.run,Population,year,month,day,latitudeN,longitudeW,dom.sp,prey50
NGOS-2017-PWS4_S66,51530-023,NGOS-2017-PWS4,Female,ARKW_16,ARKW,PWS,2018,ARKW,2017,6,22,60.37,147.23,chum,chum
51530-052_S50,51530-052,NGOS_2018_24,Undetermined,ARKW_28,ARKW,West PWS,2019,ARKW,2018,9,30,60.086,147.755,chum,chum
51530-053_S61,51530-053,NGOS_2018_25,Undetermined,ARKW_29,ARKW,West PWS,2019,ARKW,2018,9,30,60.039,147.785,chum,None
NGOS-2016-5A_S4,51530-006,NGOS-2016-5A,Female,ARKW_05,ARKW,West PWS,2018,ARKW,2016,9,13,60.12,147.79,halibut,halibut
NGOS-2016-5B_S13,51530-007,NGOS-2016-5B,Undetermined,FAIL,ARKW,West PWS,2018,ARKW,2016,9,13,60.12,147.79,halibut,halibut
NGOS-2016-5C_S22,51530-008,NGOS-2016-5C,Female,ARKW_05,ARKW,West PWS,2018,ARKW,2016,9,13,60.12,147.79,halibut,halibut
NGOS-2016-5Crep_S31,51530-008,NGOS-2016-5C,Female,ARKW_05,ARKW,West PWS,2018,ARKW,2016,9,13,60.12,147.79,halibut,halibut
51530-054_S71,51530-054,NGOS_2018_26,Undetermined,ARKW_29,ARKW,West PWS,2019,ARKW,2018,9,30,60.019,147.807,chum,None
NGOS-2016-6A_S40,51530-009,NGOS-2016-6A,Male,ARKW_06,ARKW,West PWS,2018,ARKW,2016,9,13,60.09,147.81,arrowtooth,arrowtooth
NGOS-2016-6Arep_S49,51530-009,NGOS-2016-6A,Male,ARKW_06,ARKW,West PWS,2018,ARKW,2016,9,13,60.09,147.81,arrowtooth,arrowtooth
NGOS-2016-6B_S57,51530-010,NGOS-2016-6B,Male,ARKW_06,ARKW,West PWS,2018,ARKW,2016,9,13,60.09,147.81,arrowtooth,arrowtooth
52357-40_S37,52357-40,NGOS_2020_38,Undetermined,ARKW_54,ARKW,West PWS,2021P1,ARKW,2020,7,3,60.08,147.853,chinook,chinook
